entry_id,molecule,mapping,ansatz_type,n_qubits,status,flags,n_1q,n_2q,gap_mHa,c_I_minus_E_Ha,penalty_opt_mHa,noisy_gap_opt_mHa,meets_opt,eps_eff_opt,eps_model_opt,penalty_current_mHa,noisy_gap_current_mHa,meets_current,eps_eff_current,eps_model_current,penalty_pessimistic_mHa,noisy_gap_pessimistic_mHa,meets_pessimistic,eps_eff_pessimistic,eps_model_pessimistic,penalty_device-sc_mHa,noisy_gap_device-sc_mHa,meets_device-sc,eps_eff_device-sc,eps_model_device-sc,zne_residual_mHa,zne_gap_mHa,meets_after_zne,reason
BeH2_ccpvdz_JW_HEA_v4_tapered__sha256_3a0217702318b7e5,BeH2,jordan_wigner,hea,3,ok,,9,4,5.425010485282655e-05,1.2736343155073016,6.947770091491279,6.947824341596132,True,0.005455074511496584,0.011803647974791609,34.38186554974898,34.38191979985383,False,0.026995084170650923,0.05777756913517462,67.88430691858949,67.88436116869434,False,0.05329968429089513,0.11254030236160972,45.39894145193557,45.39899570204042,False,0.03564519336451194,,0.037755771685965556,0.03781002179081838,True,
BeH2_ccpvdz_JW_UCCSD_v4_tapered__sha256_31f7be8f2f7d9f00,BeH2,jordan_wigner,uccsd_tapered,3,ok,,54,32,0.006646118750452956,1.273627723638656,57.93796521115091,57.94461132990136,False,0.0454905025509547,0.08843352007599758,263.05581536873746,263.0624614874879,False,0.2065405852011507,0.37130387491378325,468.92523184592784,468.9318779646783,False,0.3681807667520339,0.6058884720852878,320.08048581421633,320.08713193296677,False,0.2513140063406999,,13.754596953434728,13.76124307218518,False,
BeH2_ccpvdz_PAR_HEA_v4_tapered__sha256_c3c5a76f6786a95b,BeH2,parity,hea,3,ok,,9,4,5.425013505089282e-05,1.2736343155072642,6.9477700921769525,6.947824342312003,True,0.005455074512035103,0.011803647974791609,34.381865553173796,34.38191980330885,False,0.026995084173340726,0.05777756913517462,67.8843069252526,67.88436117538765,False,0.05329968429612826,0.11254030236160972,45.39894145605139,45.39899570618644,False,0.035645193367744535,,0.037755771685965556,0.03781002182101645,True,
BeH2_ccpvdz_PAR_UCCSD_v4_tapered__sha256_fee27caf9110d47f,BeH2,parity,uccsd_tapered,3,ok,,110,64,0.002403507497916735,1.2736319662499014,112.23018161379983,112.23258512129775,False,0.08811821985298614,0.16926812549241,466.42603544163205,466.42843894913,False,0.3662172808169875,0.6052680183879217,755.1444672739578,755.1468707814557,False,0.5929063397312608,0.8450900244905203,556.253891395329,556.2562949028269,False,0.4367461763959727,,71.40064575873772,71.40304926623564,False,
C4H4_ccpvdz_JW_ADAPT_v4_casscf_tapered__sha256_c9726695d8bdde1d,C4H4,jordan_wigner,adapt,6,failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RuntimeError: pipeline tapers to 5 qubits today (3 symmetries); the entry stores 6. The operator pool cannot be reconstructed in the stored gauge.
C4H4_ccpvdz_JW_HEA_v4_casscf_tapered__sha256_5b0a919ded51c8e6,C4H4,jordan_wigner,hea,6,ok,,18,10,9.636802410369683,1.1652400488923433,20.18910095327442,29.8259033636441,False,0.017326130330369113,0.028665733585797493,97.30475808274264,106.94156049311232,False,0.08350619099921842,0.13565541529245784,185.98326160054057,195.62006401091026,False,0.15960939703139537,0.2535871554130348,120.43080187038413,130.0676042807538,False,0.10335278296078437,,0.8910950367351234,10.527897447104806,False,
C4H4_ccpvdz_JW_UCCSD_v4_casscf_tapered__sha256_a26c030f93eb230d,C4H4,jordan_wigner,uccsd_tapered,6,failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RuntimeError: pipeline tapers to 5 qubits today (3 symmetries); the entry stores 6. The operator pool cannot be reconstructed in the stored gauge.
C4H4_ccpvdz_PAR_HEA_v4_casscf_tapered__sha256_8b12a22329451c03,C4H4,parity,hea,5,ok,,15,8,3.8341273490232197,1.1710690058530417,16.364909608853395,20.199036957876615,False,0.013974334157134238,0.023077252845439378,79.4738916711708,83.30801902019402,False,0.06786439678102457,0.11043895450200347,153.32481813433674,157.15894548335996,False,0.13092722748874253,0.20925652659813931,93.83739423924453,97.67152158826775,False,0.08012968814838589,,0.4967135767230957,4.330840925746315,True,
C4H6_ccpvdz_JW_ADAPT_v4_tapered__sha256_d70625e50afebe76,C4H6,jordan_wigner,adapt,4,ok,,10,12,2.8285785924140328,0.9822135030123604,16.17930166798942,19.007880260403454,False,0.01647228593210026,0.032804637581196006,77.81827511749384,80.64685370990787,False,0.0792274539892113,0.1539735080429453,148.420659478802,151.24923807121604,False,0.15110834764906939,0.2850157168247053,93.96569978392222,96.79427837633625,False,0.09566728567234911,,0.8590804188202128,3.6876590112342456,True,
H2CO_ccpvdz_JW_ADAPT_v4_tapered__sha256_09d774c657fca512,H2CO,jordan_wigner,adapt,4,ok,,14,8,1.1239470076702673,1.4443836052066956,16.925732806043925,18.049679813714192,False,0.011718308588542725,0.022946979109320642,81.68227341720069,82.80622042487096,False,0.05655164813748472,0.10984551818079069,156.35635318372465,157.48030019139492,False,0.10825126553644977,0.2082007943239046,99.14966708458905,100.27361409225932,False,0.06864496850225632,,0.6822005938289522,1.8061476014992195,True,
