=== early-stopping control: 480 jobs, 30 at a time ===
LiH_COBYLA_r_neyman_T100000000_P100000_s2    evals= 1000 shots=   99922326  gap_final=   179.10  gap_best=   179.10 mHa
LiH_COBYLA_r_exact_T100000000_P100000_s0     evals= 1000 shots=          0  gap_final=     0.23  gap_best=     0.23 mHa
LiH_COBYLA_r_exact_T100000000_P100000_s1     evals= 1000 shots=          0  gap_final=   147.44  gap_best=   147.44 mHa
LiH_COBYLA_r_exact_T100000000_P100000_s2     evals= 1000 shots=          0  gap_final=     0.07  gap_best=     0.07 mHa
LiH_COBYLA_r_exact_T100000000_P100000_s3     evals= 1000 shots=          0  gap_final=     1.61  gap_best=     1.61 mHa
LiH_COBYLA_r_exact_T100000000_P100000_s4     evals= 1000 shots=          0  gap_final=     0.09  gap_best=     0.09 mHa
LiH_COBYLA_r_exact_T100000000_P100000_s5     evals= 1000 shots=          0  gap_final=     0.55  gap_best=     0.55 mHa
LiH_COBYLA_r_exact_T100000000_P100000_s6     evals= 1000 shots=          0  gap_final=     0.16  gap_best=     0.16 mHa
LiH_COBYLA_r_exact_T100000000_P100000_s7     evals= 1000 shots=          0  gap_final=   147.56  gap_best=   147.56 mHa
LiH_COBYLA_r_exact_T100000000_P100000_s8     evals= 1000 shots=          0  gap_final=   147.56  gap_best=   147.56 mHa
LiH_COBYLA_r_exact_T100000000_P100000_s9     evals= 1000 shots=          0  gap_final=   147.56  gap_best=   147.56 mHa
LiH_LBFGSB_uniform_T100000000_P100000_s1     evals=  336 shots=   33581856  gap_final=   701.61  gap_best=   701.61 mHa
LiH_LBFGSB_uniform_T100000000_P100000_s0     evals=  368 shots=   36780128  gap_final=   722.49  gap_best=   722.49 mHa
LiH_LBFGSB_uniform_T100000000_P100000_s3     evals=  336 shots=   33581856  gap_final=   699.57  gap_best=   699.57 mHa
LiH_COBYLA_r_neyman_T100000000_P100000_s7    evals= 1000 shots=   99924290  gap_final=   443.28  gap_best=   443.28 mHa
LiH_COBYLA_r_uniform_T100000000_P100000_s2   evals= 1000 shots=   99946000  gap_final=   595.58  gap_best=   595.58 mHa
LiH_LBFGSB_uniform_T100000000_P100000_s6     evals=  384 shots=   38379264  gap_final=   705.73  gap_best=   705.73 mHa
LiH_LBFGSB_uniform_T100000000_P100000_s2     evals=  448 shots=   44775808  gap_final=   707.59  gap_best=   707.59 mHa
LiH_LBFGSB_uniform_T100000000_P100000_s4     evals=  416 shots=   41577536  gap_final=   706.36  gap_best=   706.36 mHa
LiH_LBFGSB_uniform_T100000000_P100000_s5     evals=  416 shots=   41577536  gap_final=   706.19  gap_best=   706.19 mHa
LiH_LBFGSB_uniform_T100000000_P100000_s8     evals=  400 shots=   39978400  gap_final=   708.87  gap_best=   709.15 mHa
LiH_COBYLA_r_uniform_T100000000_P100000_s0   evals= 1000 shots=   99946000  gap_final=   603.80  gap_best=   603.80 mHa
LiH_COBYLA_r_uniform_T100000000_P100000_s1   evals= 1000 shots=   99946000  gap_final=   489.39  gap_best=   489.39 mHa
LiH_COBYLA_r_uniform_T100000000_P100000_s6   evals= 1000 shots=   99946000  gap_final=   569.03  gap_best=   569.03 mHa
LiH_COBYLA_r_uniform_T100000000_P100000_s3   evals= 1000 shots=   99946000  gap_final=   563.36  gap_best=   563.36 mHa
LiH_COBYLA_r_uniform_T100000000_P100000_s4   evals= 1000 shots=   99946000  gap_final=   249.49  gap_best=   249.49 mHa
LiH_COBYLA_r_uniform_T100000000_P100000_s5   evals= 1000 shots=   99946000  gap_final=   726.92  gap_best=   637.90 mHa
LiH_COBYLA_r_neyman_T100000000_P100000_s0    evals= 1000 shots=   99922051  gap_final=   216.68  gap_best=   216.68 mHa
LiH_COBYLA_r_weighted_T100000000_P100000_s1  evals= 1000 shots=   99908000  gap_final=   440.08  gap_best=   440.08 mHa
LiH_COBYLA_r_weighted_T100000000_P100000_s2  evals= 1000 shots=   99908000  gap_final=   492.61  gap_best=   492.61 mHa
LiH_COBYLA_r_weighted_T100000000_P100000_s7  evals= 1000 shots=   99908000  gap_final=   437.11  gap_best=   437.11 mHa
LiH_COBYLA_r_weighted_T100000000_P100000_s0  evals= 1000 shots=   99908000  gap_final=   332.24  gap_best=   332.24 mHa
LiH_COBYLA_r_weighted_T100000000_P100000_s5  evals= 1000 shots=   99908000  gap_final=   540.80  gap_best=   540.80 mHa
LiH_COBYLA_r_weighted_T100000000_P100000_s8  evals= 1000 shots=   99908000  gap_final=   599.50  gap_best=   599.50 mHa
LiH_COBYLA_r_weighted_T100000000_P100000_s6  evals= 1000 shots=   99908000  gap_final=   258.55  gap_best=   258.55 mHa
LiH_COBYLA_r_neyman_T100000000_P100000_s5    evals= 1000 shots=   99922516  gap_final=   506.97  gap_best=   506.97 mHa
LiH_COBYLA_r_neyman_T100000000_P100000_s9    evals= 1000 shots=   99921870  gap_final=   481.48  gap_best=   481.48 mHa
LiH_COBYLA_r_neyman_T100000000_P100000_s6    evals= 1000 shots=   99921765  gap_final=   245.20  gap_best=   245.20 mHa
LiH_COBYLA_r_neyman_T100000000_P100000_s8    evals= 1000 shots=   99922357  gap_final=   524.28  gap_best=   524.28 mHa
LiH_LBFGSB_weighted_T100000000_P100000_s3    evals=  368 shots=   36766144  gap_final=   699.57  gap_best=   699.60 mHa
LiH_LBFGSB_uniform_T100000000_P100000_s7     evals=  464 shots=   46374944  gap_final=   713.45  gap_best=   713.45 mHa
LiH_LBFGSB_weighted_T100000000_P100000_s5    evals=  336 shots=   33569088  gap_final=   706.19  gap_best=   706.19 mHa
LiH_LBFGSB_exact_T100000000_P100000_s4       evals=  672 shots=          0  gap_final=     0.06  gap_best=     0.06 mHa
LiH_LBFGSB_weighted_T100000000_P100000_s7    evals=  336 shots=   33569088  gap_final=   713.45  gap_best=   713.45 mHa
LiH_LBFGSB_exact_T100000000_P100000_s3       evals=  800 shots=          0  gap_final=     0.08  gap_best=     0.08 mHa
LiH_LBFGSB_weighted_T100000000_P100000_s6    evals=  384 shots=   38364672  gap_final=   705.73  gap_best=   705.73 mHa
LiH_LBFGSB_weighted_T100000000_P100000_s0    evals=  464 shots=   46357312  gap_final=   722.49  gap_best=   716.13 mHa
LiH_LBFGSB_exact_T100000000_P100000_s8       evals=  560 shots=          0  gap_final=     0.10  gap_best=     0.10 mHa
LiH_LBFGSB_weighted_T100000000_P100000_s8    evals=  384 shots=   38364672  gap_final=   708.87  gap_best=   708.87 mHa
LiH_LBFGSB_weighted_T100000000_P100000_s1    evals=  512 shots=   51152896  gap_final=   701.61  gap_best=   701.61 mHa
LiH_LBFGSB_exact_T100000000_P100000_s1       evals= 1000 shots=          0  gap_final=     0.12  gap_best=     0.12 mHa
LiH_LBFGSB_exact_T100000000_P100000_s6       evals=  480 shots=          0  gap_final=     0.12  gap_best=     0.12 mHa
LiH_LBFGSB_exact_T100000000_P100000_s0       evals=  864 shots=          0  gap_final=     0.03  gap_best=     0.03 mHa
LiH_LBFGSB_weighted_T100000000_P100000_s9    evals=  432 shots=   43160256  gap_final=   717.58  gap_best=   717.58 mHa
LiH_LBFGSB_exact_T100000000_P100000_s2       evals=  848 shots=          0  gap_final=     0.08  gap_best=     0.08 mHa
LiH_LBFGSB_weighted_T100000000_P100000_s2    evals=  448 shots=   44758784  gap_final=   707.59  gap_best=   707.65 mHa
LiH_LBFGSB_uniform_T100000000_P100000_s9     evals=  400 shots=   39978400  gap_final=   717.58  gap_best=   717.58 mHa
LiH_LBFGSB_exact_T100000000_P100000_s9       evals=  592 shots=          0  gap_final=     0.10  gap_best=     0.10 mHa
LiH_LBFGSB_exact_T100000000_P100000_s7       evals=  688 shots=          0  gap_final=     0.13  gap_best=     0.13 mHa
LiH_LBFGSB_exact_T100000000_P100000_s5       evals= 1000 shots=          0  gap_final=     0.05  gap_best=     0.05 mHa
