rank,entry_id,molecule,basis,orbital_opt,mapping,ansatz,gap,depth,2q_gates,balanced_score,ccsd_t_correlation,t_gate_estimate,non_clifford_gates,baseline,beats_classical,optimizer,optimiser_family,amplifies,margin,chem_accurate,robustness,at_risk,noise_status,noise_penalty,noisy_gap,zne_residual,noise_model,early_stopped,restarts_used,restarts_requested,n_params
16,H2O_ccpvdz_JW_HEA_v4_tapered__sha256_6d66b3fceee03e10,H2O,cc-pvdz,hf,jordan_wigner,hardware_efficient,0.0004032122583481623,9,6,0.423913,-0.21634849260681221,144,12,True,True,COBYLA,gradient-free,True,0.009596787741651838,True,robust,False,measured,0.05369874723945145,0.05410195949781382,5.4425158779736194e-05,depolarizing-current/v1,True,1,10,12
16,H2O_ccpvdz_PAR_HEA_v4_tapered__sha256_b50cee1c91dc0410,H2O,cc-pvdz,hf,parity,hardware_efficient,0.00039920839618901027,9,6,0.423913,-0.21634849260681221,144,12,True,True,COBYLA,gradient-free,True,0.00960079160381099,True,robust,False,measured,0.0913566348328061,0.0917558432289951,0.00033326179185166893,depolarizing-current/v1,True,1,10,12
18,BeH2_ccpvdz_PAR_UCCSD_v4_tapered__sha256_fee27caf9110d47f,BeH2,cc-pvdz,hf,parity,UCCSD,2.40350748370588e-06,22,8,0.434783,-0.06896339711317268,264,22,True,True,COBYLA,gradient-free,True,0.009997596492516294,True,robust,False,measured,0.466426035441632,0.46642843894913,0.07140064575873772,depolarizing-current/v1,True,1,10,12
18,H2O_ccpvdz_JW_UCCSD_v4_tapered__sha256_1a15dd08a75640a5,H2O,cc-pvdz,hf,jordan_wigner,UCCSD,1.4370171186328662e-07,34,12,0.434783,-0.21634849260681221,408,34,True,True,COBYLA,gradient-free,True,0.009999856298288137,True,robust,False,measured,0.8933642438577323,0.893364387559501,0.2531690448661834,depolarizing-current/v1,True,1,10,18
20,BeH2_ccpvdz_JW_UCCSD_v4_tapered__sha256_31f7be8f2f7d9f00,BeH2,cc-pvdz,hf,jordan_wigner,UCCSD,6.646118739794815e-06,14,8,0.445652,-0.06896339711317268,168,14,True,True,COBYLA,gradient-free,True,0.009993353881260205,True,robust,False,measured,0.26305581536873746,0.2630624614874879,0.013754596953434728,depolarizing-current/v1,True,1,10,8
21,water_dimer_ccpvdz_JW_HEA_v4_tapered__sha256_bfa557aad3442cc8,water_dimer,cc-pvdz,hf,jordan_wigner,hardware_efficient,0.000331846078381659,10,8,0.478261,-0.43518626663916393,180,15,True,True,COBYLA,gradient-free,True,0.009668153921618341,True,robust,False,measured,0.06253012589937157,0.06286197197744059,0.00013791518537686898,depolarizing-current/v1,True,1,10,15
21,water_dimer_ccpvdz_PAR_HEA_v4_tapered__sha256_f69363eea8e031ae,water_dimer,cc-pvdz,hf,parity,hardware_efficient,0.00011416853590162646,10,8,0.478261,-0.43518626663916393,180,15,True,True,COBYLA,gradient-free,True,0.009885831464098374,True,robust,False,measured,0.0809587766750326,0.08107294521084896,0.0003859411885969166,depolarizing-current/v1,True,1,10,15
23,NH3_ccpvdz_PAR_HEA_v4_tapered__sha256_985901ca28fa7f97,NH3,cc-pvdz,hf,parity,hardware_efficient,0.0007340705941061287,10,8,0.5,-0.2085497803430485,180,15,True,True,COBYLA,gradient-free,True,0.009265929405893871,True,robust,False,measured,0.07998351253110769,0.08071758312523514,0.00037813367611505555,depolarizing-current/v1,True,3,10,15
24,NH3_ccpvdz_JW_HEA_v4_tapered__sha256_07291783190d6a4e,NH3,cc-pvdz,hf,jordan_wigner,hardware_efficient,0.0018800185149174808,10,8,0.51087,-0.2085497803430485,180,15,True,True,COBYLA,gradient-free,True,0.00811998148508252,False,robust,False,measured,0.06728910481692196,0.06916912333185365,0.00036508733536777527,depolarizing-current/v1,True,1,10,15
25,C4H4_ccpvdz_PAR_HEA_v4_casscf_tapered__sha256_8b12a22329451c03,C4H4,cc-pvdz,casscf,parity,hardware_efficient,0.003834127348710581,10,8,0.521739,-0.5957454437906335,180,15,True,True,COBYLA,gradient-free,True,0.006165872651289419,False,fragile,False,measured,0.0794738916711708,0.08330801902019402,0.0004967135767230957,depolarizing-current/v1,True,3,10,15
25,water_dimer_ccpvdz_JW_UCCSD_v4_tapered__sha256_6383f47170758daa,water_dimer,cc-pvdz,hf,jordan_wigner,UCCSD,1.925048366047122e-06,105,20,0.521739,-0.43518626663916393,1308,109,True,True,COBYLA,gradient-free,True,0.009998074951633953,True,robust,False,measured,1.3323597527712252,1.3323616778193355,1.0443248438823503,depolarizing-current/v1,True,1,10,56
27,LiH_ccpvdz_PAR_HEA_v4_tapered__sha256_b4373017ff3b1438,LiH,cc-pvdz,hf,parity,hardware_efficient,0.0033701612450824925,10,8,0.532609,-0.03110471625531286,180,15,True,True,COBYLA,gradient-free,True,0.006629838754917508,False,robust,False,measured,0.09563332193777628,0.09900348318285436,0.00023195099415396214,depolarizing-current/v1,True,1,10,15
28,LiH_ccpvdz_JW_UCCSD_v4_tapered__sha256_21e143f12ed3a4b6,LiH,cc-pvdz,hf,jordan_wigner,UCCSD,2.86281920214293e-06,110,24,0.554348,-0.03110471625531286,1320,110,True,True,COBYLA,gradient-free,True,0.009997137180797857,True,robust,False,measured,2.7197386148057356,2.71974147762493,1.97174670717322,depolarizing-current/v1,True,1,10,56
28,water_dimer_ccpvdz_JW_ADAPT_v4_tapered__sha256_3e0a9ef75a4bc666,water_dimer,cc-pvdz,hf,jordan_wigner,adapt,0.00011094360610286458,20,14,0.554348,-0.43518626663916393,96,8,True,True,ADAPT-VQE/COBYLA,gradient-free,False,0.009889056393897136,True,robust,False,measured,0.06591933067565492,0.06603027428150199,0.0003326189988115402,depolarizing-current/v1,True,1,3,1
30,H2CO_ccpvdz_JW_ADAPT_v4_tapered__sha256_09d774c657fca512,H2CO,cc-pvdz,hf,jordan_wigner,adapt,0.0011239470076560565,20,14,0.597826,-0.34504746695471056,96,8,True,True,ADAPT-VQE/COBYLA,gradient-free,False,0.008876052992343944,True,robust,False,measured,0.08168227341720069,0.08280622042487096,0.0006822005938289522,depolarizing-current/v1,True,1,3,1
30,NH3_ccpvdz_JW_UCCSD_v4_tapered__sha256_bff85ae0c8311f46,NH3,cc-pvdz,hf,jordan_wigner,UCCSD,3.244514518740971e-05,120,24,0.597826,-0.2085497803430485,1500,125,True,True,COBYLA,gradient-free,True,0.00996755485481259,True,robust,False,measured,1.3162045448692439,1.3162369900144453,1.0931409357293376,depolarizing-current/v1,True,1,10,64
