=== termination sweep: 1320 jobs, 30 at a time ===
LiH_COBYLA_uniform_T10000000000_P10000000_s6 evals=  174 shots= 1739998260  gap_final=   638.34  gap_best=   638.34 mHa
LiH_COBYLA_neyman_T1000000_P1000_s1          evals=  124 shots=     119585  gap_final=   709.57  gap_best=   709.57 mHa
LiH_COBYLA_uniform_T1000000000_P1000000_s7   evals=  210 shots=  209983620  gap_final=   368.99  gap_best=   368.97 mHa
LiH_COBYLA_neyman_T10000000_P10000_s1        evals=  107 shots=    1062406  gap_final=   702.03  gap_best=   702.03 mHa
LiH_COBYLA_neyman_T1000000_P1000_s7          evals=  115 shots=     110972  gap_final=   708.02  gap_best=   708.01 mHa
LiH_COBYLA_neyman_T10000000_P10000_s6        evals=  120 shots=    1191709  gap_final=   680.54  gap_best=   680.54 mHa
LiH_COBYLA_neyman_T1000000_P1000_s6          evals=  126 shots=     121543  gap_final=   725.94  gap_best=   725.95 mHa
LiH_COBYLA_neyman_T100000000_P100000_s1      evals=  109 shots=   10891508  gap_final=   666.37  gap_best=   666.37 mHa
LiH_COBYLA_neyman_T10000000_P10000_s9        evals=  116 shots=    1152068  gap_final=   713.46  gap_best=   713.45 mHa
LiH_COBYLA_neyman_T10000000_P10000_s0        evals=  119 shots=    1181525  gap_final=   739.33  gap_best=   739.34 mHa
LiH_COBYLA_neyman_T10000000_P10000_s3        evals=  124 shots=    1231423  gap_final=   690.88  gap_best=   690.88 mHa
LiH_COBYLA_neyman_T100000000_P100000_s2      evals=  129 shots=   12889977  gap_final=   624.36  gap_best=   624.35 mHa
LiH_COBYLA_neyman_T100000000_P100000_s0      evals=  145 shots=   14488788  gap_final=   595.74  gap_best=   595.74 mHa
LiH_COBYLA_neyman_T10000000_P10000_s5        evals=  102 shots=    1012764  gap_final=   706.35  gap_best=   706.35 mHa
LiH_COBYLA_neyman_T10000000_P10000_s4        evals=  112 shots=    1112396  gap_final=   699.71  gap_best=   699.72 mHa
LiH_COBYLA_neyman_T100000000_P100000_s3      evals=  132 shots=   13189878  gap_final=   660.73  gap_best=   660.73 mHa
LiH_COBYLA_uniform_T10000000000_P10000000_s5 evals=  325 shots= 3249996750  gap_final=   137.17  gap_best=   137.17 mHa
LiH_COBYLA_neyman_T10000000_P10000_s8        evals=  103 shots=    1022750  gap_final=   708.86  gap_best=   708.87 mHa
LiH_COBYLA_neyman_T10000000_P10000_s7        evals=  110 shots=    1092578  gap_final=   708.52  gap_best=   708.52 mHa
LiH_COBYLA_uniform_T10000000000_P10000000_s3 evals=  215 shots= 2149997850  gap_final=   184.34  gap_best=   184.34 mHa
LiH_COBYLA_neyman_T100000000_P100000_s9      evals=  109 shots=   10891509  gap_final=   700.27  gap_best=   700.27 mHa
LiH_COBYLA_uniform_T10000000000_P10000000_s8 evals=  238 shots= 2379997620  gap_final=   566.50  gap_best=   566.48 mHa
LiH_COBYLA_neyman_T1000000000_P1000000_s4    evals=  172 shots=  171986890  gap_final=   427.92  gap_best=   427.91 mHa
LiH_COBYLA_neyman_T100000000_P100000_s8      evals=  110 shots=   10991536  gap_final=   693.22  gap_best=   693.22 mHa
LiH_COBYLA_neyman_T100000000_P100000_s6      evals=  115 shots=   11491004  gap_final=   675.93  gap_best=   675.92 mHa
LiH_COBYLA_neyman_T100000000_P100000_s5      evals=  123 shots=   12290541  gap_final=   679.49  gap_best=   679.50 mHa
LiH_COBYLA_uniform_T10000000000_P10000000_s2 evals=  272 shots= 2719997280  gap_final=   140.39  gap_best=   140.38 mHa
LiH_COBYLA_uniform_T10000000000_P10000000_s9 evals=  287 shots= 2869997130  gap_final=   252.63  gap_best=   252.63 mHa
LiH_COBYLA_neyman_T100000000_P100000_s7      evals=  130 shots=   12990368  gap_final=   638.64  gap_best=   638.64 mHa
LiH_COBYLA_uniform_T10000000000_P10000000_s1 evals=  301 shots= 3009996990  gap_final=   169.06  gap_best=   169.06 mHa
LiH_COBYLA_neyman_T100000000_P100000_s4      evals=  146 shots=   14588793  gap_final=   603.32  gap_best=   603.32 mHa
LiH_COBYLA_uniform_T10000000000_P10000000_s0 evals=  305 shots= 3049996950  gap_final=    37.79  gap_best=    37.80 mHa
LiH_COBYLA_neyman_T1000000000_P1000000_s8    evals=  116 shots=  115991116  gap_final=   681.96  gap_best=   681.96 mHa
LiH_COBYLA_neyman_T1000000000_P1000000_s5    evals=  263 shots=  262979773  gap_final=   196.29  gap_best=   196.29 mHa
LiH_COBYLA_neyman_T1000000000_P1000000_s9    evals=  136 shots=  135989643  gap_final=   654.75  gap_best=   654.76 mHa
LiH_COBYLA_neyman_T1000000000_P1000000_s7    evals=  285 shots=  284978252  gap_final=   144.68  gap_best=   144.68 mHa
LiH_COBYLA_exact_T100000000_P100000_s1       evals= 1000 shots=          0  gap_final=   147.44  gap_best=   147.44 mHa
LiH_COBYLA_neyman_T1000000000_P1000000_s3    evals=  197 shots=  196984699  gap_final=   291.69  gap_best=   291.69 mHa
LiH_COBYLA_neyman_T1000000000_P1000000_s6    evals=  264 shots=  263979821  gap_final=   454.17  gap_best=   454.16 mHa
LiH_COBYLA_neyman_T10000000000_P10000000_s1  evals=  317 shots= 3169975621  gap_final=   155.97  gap_best=   155.97 mHa
LiH_COBYLA_exact_T100000000_P100000_s4       evals= 1000 shots=          0  gap_final=     0.09  gap_best=     0.09 mHa
LiH_COBYLA_exact_T100000000_P100000_s6       evals= 1000 shots=          0  gap_final=     0.16  gap_best=     0.16 mHa
LiH_COBYLA_neyman_T10000000000_P10000000_s4  evals=  311 shots= 3109976052  gap_final=    91.17  gap_best=    91.18 mHa
LiH_COBYLA_neyman_T1000000000_P1000000_s0    evals=  225 shots=  224982620  gap_final=   427.88  gap_best=   427.89 mHa
LiH_COBYLA_neyman_T1000000000_P1000000_s1    evals=  228 shots=  227982482  gap_final=   193.21  gap_best=   193.22 mHa
LiH_COBYLA_neyman_T10000000000_P10000000_s7  evals=  304 shots= 3039976448  gap_final=   170.60  gap_best=   170.60 mHa
LiH_COBYLA_exact_T100000000_P100000_s7       evals=  584 shots=          0  gap_final=   147.56  gap_best=   147.56 mHa
LiH_COBYLA_neyman_T10000000000_P10000000_s0  evals=  393 shots= 3929969778  gap_final=    13.61  gap_best=    13.61 mHa
LiH_COBYLA_exact_T100000000_P100000_s2       evals= 1000 shots=          0  gap_final=     0.07  gap_best=     0.07 mHa
LiH_COBYLA_exact_T100000000_P100000_s3       evals= 1000 shots=          0  gap_final=     1.61  gap_best=     1.61 mHa
LiH_COBYLA_exact_T100000000_P100000_s0       evals= 1000 shots=          0  gap_final=     0.23  gap_best=     0.23 mHa
LiH_COBYLA_neyman_T1000000000_P1000000_s2    evals=  304 shots=  303976740  gap_final=     9.86  gap_best=     9.86 mHa
LiH_COBYLA_exact_T100000000_P100000_s5       evals= 1000 shots=          0  gap_final=     0.55  gap_best=     0.55 mHa
LiH_COBYLA_exact_T100000000_P100000_s8       evals= 1000 shots=          0  gap_final=   147.56  gap_best=   147.56 mHa
LiH_COBYLA_exact_T100000000_P100000_s9       evals= 1000 shots=          0  gap_final=   147.56  gap_best=   147.56 mHa
LiH_COBYLA_neyman_T10000000000_P10000000_s6  evals=  316 shots= 3159975694  gap_final=   168.92  gap_best=   168.92 mHa
LiH_COBYLA_neyman_T10000000000_P10000000_s3  evals=  302 shots= 3019976735  gap_final=     7.43  gap_best=     7.43 mHa
LiH_COBYLA_neyman_T10000000000_P10000000_s5  evals=  308 shots= 3079976303  gap_final=    43.02  gap_best=    43.02 mHa
LiH_COBYLA_neyman_T10000000000_P10000000_s9  evals=  375 shots= 3749971108  gap_final=   154.79  gap_best=   154.79 mHa
LiH_LBFGSB_uniform_T1000000_P1000_s5         evals=  336 shots=     310464  gap_final=   706.19  gap_best=   732.58 mHa
LiH_LBFGSB_uniform_T1000000_P1000_s2         evals=  416 shots=     384384  gap_final=   707.59  gap_best=  1243.87 mHa
LiH_COBYLA_neyman_T10000000000_P10000000_s2  evals=  376 shots= 3759971206  gap_final=    21.07  gap_best=    21.07 mHa
LiH_COBYLA_neyman_T10000000000_P10000000_s8  evals=  361 shots= 3609972063  gap_final=   170.02  gap_best=   170.01 mHa
LiH_LBFGSB_uniform_T1000000_P1000_s9         evals=  368 shots=     340032  gap_final=   717.58  gap_best=   797.39 mHa
LiH_LBFGSB_uniform_T1000000_P1000_s8         evals=  400 shots=     369600  gap_final=   708.87  gap_best=   913.24 mHa
LiH_LBFGSB_uniform_T10000000_P10000_s0       evals=  416 shots=    4100096  gap_final=   722.49  gap_best=   738.82 mHa
LiH_LBFGSB_uniform_T10000000_P10000_s4       evals=  416 shots=    4100096  gap_final=   706.36  gap_best=   706.36 mHa
LiH_LBFGSB_uniform_T10000000_P10000_s7       evals=  400 shots=    3942400  gap_final=   713.45  gap_best=   896.67 mHa
LiH_LBFGSB_uniform_T10000000_P10000_s1       evals=  464 shots=    4573184  gap_final=   701.61  gap_best=   701.61 mHa
LiH_LBFGSB_uniform_T10000000_P10000_s3       evals=  448 shots=    4415488  gap_final=   699.57  gap_best=   729.95 mHa
LiH_LBFGSB_uniform_T1000000_P1000_s0         evals=  400 shots=     369600  gap_final=   722.49  gap_best=   873.13 mHa
LiH_LBFGSB_uniform_T1000000_P1000_s1         evals=  400 shots=     369600  gap_final=   701.61  gap_best=   647.46 mHa
LiH_LBFGSB_uniform_T1000000_P1000_s4         evals=  416 shots=     384384  gap_final=   706.36  gap_best=   706.36 mHa
LiH_LBFGSB_uniform_T1000000_P1000_s3         evals=  416 shots=     384384  gap_final=   699.57  gap_best=   944.59 mHa
LiH_LBFGSB_uniform_T10000000_P10000_s5       evals=  464 shots=    4573184  gap_final=   706.19  gap_best=   907.00 mHa
LiH_LBFGSB_uniform_T1000000_P1000_s7         evals=  400 shots=     369600  gap_final=   713.45  gap_best=   777.05 mHa
LiH_LBFGSB_uniform_T100000000_P100000_s8     evals=  400 shots=   39978400  gap_final=   708.87  gap_best=   709.15 mHa
LiH_LBFGSB_uniform_T100000000_P100000_s9     evals=  400 shots=   39978400  gap_final=   717.58  gap_best=   717.58 mHa
LiH_LBFGSB_uniform_T100000000_P100000_s3     evals=  336 shots=   33581856  gap_final=   699.57  gap_best=   699.57 mHa
LiH_LBFGSB_uniform_T100000000_P100000_s1     evals=  336 shots=   33581856  gap_final=   701.61  gap_best=   701.61 mHa
LiH_LBFGSB_uniform_T100000000_P100000_s0     evals=  368 shots=   36780128  gap_final=   722.49  gap_best=   722.49 mHa
LiH_LBFGSB_uniform_T1000000000_P1000000_s2   evals=  384 shots=  383970048  gap_final=   707.59  gap_best=   707.59 mHa
LiH_LBFGSB_uniform_T10000000_P10000_s8       evals=  384 shots=    3784704  gap_final=   708.87  gap_best=   708.87 mHa
LiH_LBFGSB_uniform_T1000000000_P1000000_s4   evals=  336 shots=  335973792  gap_final=   706.36  gap_best=   706.30 mHa
LiH_LBFGSB_uniform_T10000000_P10000_s2       evals=  464 shots=    4573184  gap_final=   707.59  gap_best=  1033.61 mHa
LiH_LBFGSB_uniform_T1000000000_P1000000_s7   evals=  336 shots=  335973792  gap_final=   713.45  gap_best=   713.01 mHa
LiH_LBFGSB_uniform_T10000000_P10000_s9       evals=  400 shots=    3942400  gap_final=   717.58  gap_best=   717.57 mHa
LiH_LBFGSB_uniform_T1000000000_P1000000_s6   evals=  432 shots=  431966304  gap_final=   705.73  gap_best=   705.73 mHa
LiH_LBFGSB_uniform_T1000000000_P1000000_s0   evals=  432 shots=  431966304  gap_final=   722.49  gap_best=   722.49 mHa
LiH_LBFGSB_uniform_T100000000_P100000_s2     evals=  448 shots=   44775808  gap_final=   707.59  gap_best=   707.59 mHa
LiH_LBFGSB_uniform_T1000000000_P1000000_s8   evals=  448 shots=  447965056  gap_final=   708.87  gap_best=   680.10 mHa
LiH_LBFGSB_uniform_T1000000000_P1000000_s1   evals=  320 shots=  319975040  gap_final=   701.61  gap_best=   701.61 mHa
LiH_LBFGSB_uniform_T100000000_P100000_s6     evals=  384 shots=   38379264  gap_final=   705.73  gap_best=   705.73 mHa
LiH_LBFGSB_uniform_T100000000_P100000_s4     evals=  416 shots=   41577536  gap_final=   706.36  gap_best=   706.36 mHa
